rank,accuracy_mean_std,f1_mean_std,trainable_params,trainable_pct
1,0.9408 ± 0.0009,0.9407 ± 0.0009,630532,0.503%
2,0.9421 ± 0.0005,0.9421 ± 0.0005,667396,0.533%
4,0.9428 ± 0.0006,0.9427 ± 0.0006,741124,0.591%
8,0.9426 ± 0.0003,0.9426 ± 0.0003,888580,0.708%
16,0.9433 ± 0.0003,0.9432 ± 0.0003,1183492,0.941%
